,Glass,Mirror,OOS,Floor,FU,Back_Ground
Glass,0.9470555106205348,0.004544378806208114,0.002845213022533705,0.0046248531831823425,0.0001807799525732002,0.04074926441496782
Mirror,0.04834401604894728,0.876615228557199,0.0018625347744891498,0.00615802612257948,1.5022132142220324e-06,0.06701869228357091
OOS,0.17532799758607703,0.000926238207605584,0.5837684060564897,0.016477189659249922,8.364378954769656e-05,0.22341652470103007
Floor,0.0020070352530608213,0.0006420615763656535,0.00021862656101394423,0.9797361798469818,0.007310409524505386,0.010085687238072348
FU,0.010591678181590283,0.0015827922382534644,0.0015485664576842507,0.27096775646255544,0.6029425164505163,0.11236669020940022
Back_Ground,0.03286917829991916,0.004577038976830664,0.006435847699002072,0.0042261356537948176,0.0012519401247990042,0.9506398592456543
