,IoU,FPR,Recall,Precision,Acc
Glass,0.7994335018218421,0.029826388206152583,0.8879119134286769,0.8935742969140514,0.95613446270978
Mirror,0.9022136916080661,0.0028560731847152698,0.9370139806787957,0.9575599386179673,0.9877361049243116
OOS,0.748438049289396,0.0021988129371284834,0.839229040543065,0.8829818324732994,0.9884430312366745
All_Optical,0.820022522562192,0.026368093204556683,0.8622448991481714,0.9333479908743828,0.9493390546951145
Glass_Mirrors,0.8291179627657661,0.027260567499791465,0.8824472970597831,0.9256060972199593,0.9539852161667732
Floor,0.9221701423175711,0.009373826372958053,0.9579338577485524,0.9556148755963476,0.9860897809301901
FU,0.41254808376561314,0.0019409261671993604,0.5291392244636178,0.6575544443785372,0.9939160406101517
All_Floor,0.9362904227143422,0.006355529620419689,0.9615293547693945,0.9693719274759176,0.9882066978766905
Back_Ground,0.8295423632440446,0.07063010984219006,0.9320418412817012,0.8754441287049143,0.9435244828311555
