,IoU,FPR,Recall,Precision,Acc
Glass,0.8429562802734469,0.026551548251484276,0.9274251396377966,0.9022127920605091,0.9655538220619366
Mirror,0.9130830888009178,0.004147722091890776,0.9609502418840085,0.9494853013499764,0.9924667542812653
OOS,0.7602350312942413,0.0037194054466984446,0.8698346998670481,0.8710857762405391,0.9896247944078949
All_Optical,0.8650901388542906,0.028439501870123448,0.9180970602265933,0.9312453020612326,0.9618711974978679
Glass_Mirrors,0.8684871063922556,0.027574983806996654,0.9290964651892468,0.9257427042921933,0.9643140957183539
Floor,0.9374202691050817,0.008201463073362418,0.970057274182389,0.9629956478630742,0.989204809475131
FU,0.453761635017775,0.0024352629129579862,0.5718368081406054,0.704346034389221,0.9944963362249482
All_Floor,0.9529738023985491,0.005921719015445075,0.9776231639071773,0.9733583866279604,0.9916899956597223
Back_Ground,0.8703537987517294,0.03971670019192253,0.9319761594132941,0.9238900452725645,0.9593772296273453
