,Glass,Mirror,OOS,Floor,FU,Back_Ground
Glass,0.9257200995436078,0.0026152100385203104,0.0016266772210110003,0.0038613610453967166,0.00017685911955417016,0.06599979303190998
Mirror,0.12314574486578458,0.7040675252525534,0.0006792449191655575,0.011204100049915401,9.78185348795742e-05,0.1608055663777014
OOS,0.17018468293979472,0.0020161549983108485,0.4323051421682593,0.02033839078689841,7.076462736691756e-05,0.3750848644793698
Floor,0.0028275548042641643,0.0004510288418737726,6.40700488148402e-05,0.9719603629258371,0.005598556157619139,0.01909842722159103
FU,0.009209587121499269,0.00026990330466423833,0.0010763107310581695,0.3389062311185901,0.4712507196045421,0.17928724811964614
Back_Ground,0.03208270713616892,0.0032700665836009916,0.00398234260506507,0.005976834963425151,0.0011604741644511496,0.9535275745472888
